person_id,member_id,subscriber_id,gender,race,birth_date,death_date,death_flag,enrollment_start_date,enrollment_end_date,payer,payer_type,plan,original_reason_entitlement_code,dual_status_code,medicare_status_code,first_name,last_name,social_security_number,subscriber_relation,address,city,state,zip_code,phone,data_source,file_name,ingest_datetime
P001,207473,809570,M,Black,1993-07-07,,0,2021-06-28,2023-01-18,"Mcclain, Miller and Henderson",Medicaid,Basic Plan,9,2,7,Daniel,Figueroa,031-12-3583,Self,908 Jennifer Squares,Robinsonshire,CA,36964,2654235116,Synthetic,eligibility_file.csv,2025-02-11 03:40:27
P002,581741,662275,M,Other,1956-07-31,,0,1982-12-22,1988-11-16,Dudley Group,Medicaid,Silver Plan,4,8,5,Michael,Cooper,081-71-4804,Self,310 Kendra Common Apt. 164,Reidstad,TX,21820,(534)192-8327x648,Synthetic,eligibility_file.csv,2025-02-11 03:40:27
P003,133659,944151,M,Asian,1964-12-11,,0,2020-11-05,2029-06-23,Morales-Jones,Commercial,Basic Plan,7,2,6,Gabrielle,Cameron,581-92-5156,Child,767 Joseph Gateway,Juliechester,MI,76985,(532)871-0122x6916,Synthetic,eligibility_file.csv,2025-02-11 03:40:27
P004,112038,813328,M,Hispanic,1975-12-21,2047-02-03,1,2017-09-08,2036-10-14,"Wilson, Dyer and Potter",Commercial,Platinum Plan,6,4,2,Caitlin,Mcdonald,788-83-5574,Self,6270 Stanton Track,New Rita,FL,82460,893-252-8809x5701,Synthetic,eligibility_file.csv,2025-02-11 03:40:27
P005,694916,182582,M,Hispanic,1974-09-13,,0,2018-08-25,2021-06-08,Dennis Inc,Medicare,Silver Plan,6,3,6,Natasha,Decker,779-69-2061,Child,782 Rose Rest,Brandtside,FL,99495,001-346-578-7133x1509,Synthetic,eligibility_file.csv,2025-02-11 03:40:27
P006,340062,170674,M,Other,1987-09-11,,0,2029-08-19,2046-05-16,Heath Inc,Medicaid,Gold Plan,3,8,7,Jerry,Robinson,527-31-4563,Child,82997 Kristen Valley Suite 311,Gomezchester,NC,61714,001-010-651-3338x7262,Synthetic,eligibility_file.csv,2025-02-11 03:40:27
P007,997546,677057,M,Black,1968-12-15,,0,2006-08-24,2022-12-31,Williams PLC,Commercial,Platinum Plan,7,5,2,Steven,Baxter,857-02-1529,Spouse,67736 Franklin Alley,Bakermouth,MI,37889,(872)343-0980x50097,Synthetic,eligibility_file.csv,2025-02-11 03:40:27
P008,992697,294851,F,Hispanic,1984-03-21,,0,2030-06-09,2036-03-15,Larson Ltd,Medicaid,Platinum Plan,3,4,9,Samantha,Schmidt,883-31-6616,Child,399 Christine Manor,Sarahborough,MI,88283,001-534-624-7510x799,Synthetic,eligibility_file.csv,2025-02-11 03:40:27
P009,172132,356150,M,Black,1956-10-21,,0,2013-03-24,2027-04-25,Mitchell-Kim,Self-Pay,Basic Plan,1,2,3,Charles,Lewis,557-91-4957,Spouse,841 Joseph Coves,West Juan,OH,28108,001-534-874-0164x005,Synthetic,eligibility_file.csv,2025-02-11 03:40:27
P010,839945,548462,F,Other,2002-06-23,,0,2026-02-28,2035-10-16,"Smith, Jones and Ware",Medicare,Basic Plan,2,9,5,David,Whitney,153-70-0591,Child,826 Bobby Lakes Apt. 533,West Kimberlychester,NY,81852,001-232-260-2563x4216,Synthetic,eligibility_file.csv,2025-02-11 03:40:27
